ipa,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,front,round,velaric,tense,long,hitone,hireg,name
t,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,voiceless alveolar stop
d,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,voiced alveolar stop
p,-,-,+,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,voiceless bilabial stop
b,-,-,+,-,-,-,-,-,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,voiced bilabial stop
k,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,voiceless velar stop
ɡ,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,voiced velar stop
s,-,-,+,+,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,
z,-,-,+,+,-,-,-,+,+,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,
f,-,-,+,+,-,-,-,+,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,voiceless labiodental fricative
v,-,-,+,+,-,-,-,+,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,voiced labiodental fricative
θ,-,-,+,+,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,voiceless dental non-sibilant fricative
ð,-,-,+,+,-,-,-,-,+,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,voiced dental non-sibilant fricative
ʃ,-,-,+,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,
ʒ,-,-,+,+,-,-,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,
x,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,voiceless velar fricative
t͡ʃ,-,-,+,-,+,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,
d͡ʒ,-,-,+,-,+,-,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,
n,-,+,+,-,-,-,+,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,voiced alveolar nasal
m,-,+,+,-,-,-,+,-,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,voiced bilabial nasal
ŋ,-,+,+,-,-,-,+,-,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,voiced velar nasal
l,-,+,+,+,-,+,-,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,voiced alveolar lateral approximant
r,-,+,+,+,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,
j,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,voiced palatal approximant
w,-,+,-,+,-,-,-,-,+,-,-,-,-,-,+,+,-,+,-,+,-,-,-,-,-,
h,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,voiceless glottal fricative
ɪ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,near-high front unrounded vowel
i,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,+,-,-,-,high front unrounded vowel 
ʊ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,+,-,-,-,-,-,near-high near-back rounded vowel
u,+,+,-,+,-,-,-,-,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,high back rounded vowel
ɛ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,low-mid front unrounded vowel
e,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,mid front unrounded vowel
ə,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,mid central vowel
ɜ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,mid central vowel
ɒ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,+,-,+,-,-,-,low back rounded vowel
o,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,+,-,+,-,-,-,mid back rounded vowel
æ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,near-low front unrounded vowel
a,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,+,-,+,-,-,+,-,-,-,open front unrounded vowel
ʌ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,low central unrounded vowel
ɑ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-,-,low back unrounded vowel
ɔ,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,low mid-back rounded vowel
ɚ,+,+,-,+,-,-,-,-,+,-,-,+,+,-,-,+,-,+,-,+,-,-,-,-,-,Unstressed r-flavored vowel
ɝ,+,+,-,+,-,-,-,-,+,-,-,+,+,-,-,+,-,+,-,+,-,-,+,-,-,r-flavored vowel
