ipa,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,front,round,velaric,tense,long,hitone,hireg,name
˩,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,extra low tone
˨,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,low tone
˧,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,mid tone
˦,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,high tone
˥,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,extra high tone
˩ˤ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,
˨ˤ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,-,
˧ˤ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,
˦ˤ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,
˥ˤ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,+,
q,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,voiceless uvular stop
ɢ,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,voiced uvular stop
qː,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,geminate voiceless uvular stop
ɢː,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,geminate voiced uvular stop
ʈ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,voiceless retroflex stop
ɖ,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,voiced retroflex stop
ʈː,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,geminate voiceless retroflex stop
ɖː,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,geminate voiced retroflex stop
ʈ̻,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,voiceless laminal retroflex stop
ɖ̻,-,-,+,-,-,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,voiced laminal retroflex stop
t,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,voiceless alveolar stop
d,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,voiced alveolar stop
tː,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,+,-,-,geminate voiceless alveolar stop
dː,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,+,-,-,geminate voiced alveolar stop
t̪,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,
d̪,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,
t̪ː,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+,-,-,
d̪ː,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,-,-,-,-,-,-,-,+,-,-,
p,-,-,+,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,voiceless bilabial stop
b,-,-,+,-,-,-,-,-,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,voiced bilabial stop
pː,-,-,+,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,
bː,-,-,+,-,-,-,-,-,+,-,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,
p͡t,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,
b͡d,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,
p͡tː,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,-,-,+,-,-,
b͡dː,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,-,-,-,+,-,-,
t̪̼,-,-,+,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,-,-,
d̪̼,-,-,+,-,-,-,-,-,+,-,-,+,+,+,+,-,-,-,-,-,-,-,-,-,-,
qˤ,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,
ɢˤ,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,
qˤː,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,-,
ɢˤː,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,-,
ʈˤ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,
ɖˤ,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,
ʈˤː,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,+,+,-,-,-,-,+,-,-,
ɖˤː,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,+,+,-,-,-,-,+,-,-,
tˤ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,
dˤ,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,
tˤː,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,+,-,-,-,-,+,-,-,
dˤː,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,+,+,-,-,-,-,+,-,-,
t̪ˤ,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,+,+,-,-,-,-,-,-,-,
d̪ˤ,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,-,+,+,-,-,-,-,-,-,-,
t̪ˤː,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,+,+,-,-,-,-,+,-,-,
